Time,State,Lox High,Fuel High,Lox Dome,Fuel Dome,Lox Tank1,Lox Tank2,Fuel Tank1,Fuel Tank2,Pneumatics,Lox Inlet,Fuel Inlet,Fuel Injector,Chamber1,Chamber2
2419393.0,5.0,1681.06,1757.21,676.87,339.91,351.84,368.84,346.0,357.17,349.34,509.36,0.0,0.12,0.12,0.0
2419730.0,5.0,1683.36,-365.87,197.86,-75.0,352.48,369.66,346.9,-75.75,349.18,509.89,0.0,0.12,0.12,0.0
2420065.0,5.0,1687.37,-364.65,677.86,-118.13,352.78,370.32,347.3,-76.54,-72.44,509.91,0.0,0.12,0.12,0.0
2420402.0,5.0,1497.32,-365.31,676.99,339.93,351.72,369.26,-84.51,-75.75,-72.39,509.48,0.0,0.12,0.12,0.0
2420738.0,5.0,1686.51,-364.09,678.07,340.17,352.48,369.5,346.54,-76.29,-72.93,510.31,0.0,0.12,0.12,0.0
2421075.0,5.0,1501.34,1673.54,677.44,-118.09,351.54,369.8,345.75,357.23,349.67,510.24,0.0,0.12,0.12,0.0
2421482.0,5.0,-601.48,-361.17,677.44,339.3,351.68,369.02,346.06,357.42,-73.09,52.59,0.0,0.12,0.12,0.0
2421817.0,5.0,1685.37,-365.12,676.93,340.0,352.36,370.02,346.33,-76.02,-73.26,52.38,0.0,0.12,0.12,0.0
2422152.0,5.0,1683.93,-366.53,677.03,-118.21,352.8,369.38,346.61,-76.62,-72.46,52.38,0.0,0.12,0.12,0.0
2422491.0,5.0,1687.56,-365.59,677.15,-74.79,352.76,370.32,347.43,-75.73,349.81,510.39,0.0,0.12,0.27,0.0
2422827.0,5.0,1686.61,-362.11,197.92,-118.11,352.38,370.4,347.13,-75.87,349.3,509.85,0.0,0.12,0.12,0.0
2423163.0,5.0,1496.17,1672.79,677.38,-75.04,352.44,369.82,346.15,-75.62,-72.76,510.28,0.0,0.12,0.12,0.0
2423501.0,5.0,1682.88,-364.27,197.61,340.14,352.46,368.6,346.0,-75.91,-72.7,509.52,0.0,0.12,0.12,0.0
2423836.0,5.0,1684.22,-365.78,198.0,-75.0,352.96,369.6,346.9,-75.98,-72.43,509.87,0.0,0.12,0.12,0.0
2424172.0,5.0,1689.86,-364.84,198.02,-74.68,352.32,-81.68,347.59,-75.68,349.24,509.3,0.0,0.12,0.12,0.0
2424511.0,5.0,-398.71,-367.18,197.88,339.85,351.86,369.58,346.23,-75.66,-72.99,509.52,0.0,0.12,0.12,0.0
2424845.0,5.0,1682.4,-367.47,197.73,340.12,352.38,370.28,346.96,-76.04,-73.54,509.98,0.0,0.12,0.12,0.0
2425182.0,5.0,1684.7,-362.96,677.36,-75.0,352.42,-128.74,347.7,-75.69,-72.62,509.32,0.0,0.12,0.12,0.0
2425518.0,5.0,1688.81,-364.84,677.62,-75.0,352.1,370.74,347.32,-75.52,349.01,510.33,0.0,0.12,0.12,0.0
2425853.0,5.0,1589.48,-365.59,677.5,-74.87,351.72,369.98,346.21,357.55,349.52,509.98,0.0,0.12,0.12,0.0
2426191.0,5.0,1684.12,-362.21,677.28,339.54,352.22,368.3,345.73,-75.96,-72.8,510.8,0.0,0.12,0.23,0.0
2426528.0,5.0,1686.61,-362.49,677.58,-74.31,352.3,370.54,347.19,-75.94,-73.22,52.22,0.0,0.12,0.12,0.0
2426866.0,5.0,1495.98,1673.17,197.81,-75.0,351.72,369.82,346.08,-75.58,349.28,509.91,0.0,0.21,0.12,0.0
2427204.0,5.0,1684.7,-367.09,197.75,-118.17,352.88,369.4,346.73,-75.87,349.83,509.91,0.0,0.12,0.12,0.0
2427540.0,5.0,1690.43,-363.8,677.87,-118.15,352.64,370.42,347.51,-75.91,349.55,510.14,0.02,0.12,0.12,0.0
2427878.0,5.0,-387.53,-364.18,198.04,-118.07,352.12,370.36,346.77,-75.58,-73.38,509.48,0.0,0.21,0.12,0.04
2428212.0,5.0,-390.88,-359.95,677.26,339.26,351.56,369.04,346.1,357.38,-72.74,509.09,0.0,0.12,0.12,0.0
2428550.0,5.0,1683.93,-365.68,677.19,-74.98,352.84,369.1,346.44,-75.98,349.38,509.24,0.0,0.12,0.12,0.0
2428887.0,5.0,1688.52,1754.02,677.93,-118.21,351.98,370.88,347.38,-75.68,-72.78,510.12,0.0,0.12,0.12,0.0
2429225.0,5.0,-386.86,-364.27,197.79,340.25,352.36,370.52,346.96,-75.64,-73.24,509.5,0.0,0.12,0.12,0.0
2429564.0,5.0,1501.53,1671.67,677.17,340.19,352.34,369.82,345.75,-75.73,-72.41,509.55,0.0,0.12,0.12,0.0
2429898.0,5.0,1680.11,-367.56,677.19,339.33,352.48,368.72,346.35,-76.33,349.13,509.67,0.0,0.12,0.12,0.0
2430236.0,5.0,1686.42,-362.77,677.68,-74.54,352.18,369.82,346.73,-75.85,349.71,510.82,0.0,0.12,0.12,0.0
2430575.0,5.0,1681.06,-362.4,676.93,-74.85,352.54,370.72,347.21,-75.69,-73.22,509.73,0.0,0.12,0.12,0.0
2430909.0,5.0,1497.8,-579.96,198.02,339.93,351.72,369.54,346.02,-75.87,-72.91,509.38,0.0,0.12,0.12,0.0
2431248.0,5.0,1679.92,-367.09,677.13,339.39,352.46,368.88,346.38,-76.17,349.83,509.63,0.0,0.12,0.12,0.0
2431583.0,5.0,1684.79,-364.09,677.86,-74.16,352.08,370.04,346.54,-75.71,349.36,510.86,0.0,0.12,0.12,0.0
2431920.0,5.0,1685.65,-362.02,677.28,-74.66,351.7,370.44,346.86,357.36,-72.91,510.14,0.0,0.12,0.12,0.0
